ContractID,ServiceContractReference,ContractName,Counterparties,ContractValue,DateOfAward,StartDate,EndDate,MaximumExtensionMonths
000-KVHL6894,Jun321153,NA443D20 (Fraserburgh North School),Classy Taxis Ltd,4750,01/07/2019,21/08/2019,03/07/2020,24
000-XCYA4546,Jun321153,NA420J20 (Fraserburgh Academy),Kininmonth Cabs,9300.5,01/07/2019,21/08/2019,03/07/2020,24
000-AJDG7385,Jun321153,NA404P20 (Anna Ritchie School),Kininmonth Cabs,4921,01/07/2019,21/08/2019,03/07/2020,24
000-QAMA5383,Jun321153,NA632i20 (Ellon Academy),Kininmonth Cabs,4541,01/07/2019,21/08/2019,03/07/2020,24
000-ATLE3578,Jun321153,NA923B20 (Troup House),Kininmonth Cabs,4544.8,01/07/2019,21/08/2019,03/07/2020,24
000-LJFA9357,Jun321153,SA660C20 (Kintore Primary),Kininmonth Cabs,10440.5,01/07/2019,21/08/2019,03/07/2020,24
000-LNVM3578,Jun321153,NA400A20 (NESCOL Fraserburgh),Kininmonth Cabs,642.2,01/07/2019,21/08/2019,03/07/2020,24
000-BQNB4882,Jun321153,SA201B20 (Nescol Gallowgate),Kp Taxis,2440.36,01/07/2019,21/08/2019,03/07/2020,24
000-NXYM3642,Jun321153,NA875F20 (Turriff Academy),Kp Taxis,9699.1,01/07/2019,21/08/2019,03/07/2020,24
000-HVUQ9417,Jun321153,SA145B20 (Gilcomstoun Primary),AJS Contract Cars  Ltd,10446.2,01/07/2019,21/08/2019,03/07/2020,24
000-EHNE6382,Jun321153,SA097K20 (Inverurie Academy),AJS Contract Cars  Ltd,10446.2,01/07/2019,21/08/2019,03/07/2020,24
000-MPNR6797,Jun321153,SA848A20 (Mill O Forest School),AJS Contract Cars  Ltd,10446.2,01/07/2019,21/08/2019,03/07/2020,24
000-TTDP9324,Jun321153,SA007B20 (Johnshaven primary),Kenny's Taxis,9120,01/07/2019,21/08/2019,03/07/2020,24
000-UUNH8687,Jun321153,SA842H20 (Mackie Academy),Kenny's Taxis,9120,01/07/2019,21/08/2019,03/07/2020,24
000-XFRQ1744,itt 27479,SA024D20 (Kellands School),Sorrells Taxis,21492.5,14/12/2019,07/01/2019,03/07/2020,12
000-GVPK3233,itt_28844,SA994B20 (Orchard Brae),Central Taxis (Aberdeen) Limited,37250,25/03/2019,15/04/2019,03/07/2020,12
000-MCVC4678,itt_28844,NA069F20 (Banff Academy),Portsoy Taxis Limited,19500,25/03/2019,15/04/2019,03/07/2020,12
000-QGQT7791,itt_28844,SA818J20 (carronhill School),Safedrive Taxis Limited,15000,25/03/2019,15/04/2019,03/07/2020,12
000-JVRU3373,itt_28844,SA852C20 (Newtonhill),Dash Cabs,8125,15/04/2019,15/04/2019,03/07/2020,12
000-FTPW1849,SS604H19a,SS604H19a Alford Academy,Watermill Coaches Limited,178410,16/08/2016,16/08/2016,03/07/2020,0
000-YRAK3121,NP458B20,NP458B20 Kininmonth Primary,Central Taxis (Aberdeen) Ltd,45360,22/08/2016,22/08/2016,03/07/2020,24
000-DQBP7221,NP695B20,NP695B20 Tipperty Primary,Central Taxis (North East) Ltd,34200,16/08/2016,16/08/2016,03/07/2020,0
000-NHDN1613,NP402D20,NP402D20 Aberchirder Primary,Deveron Coaches Ltd,105640,16/08/2016,16/08/2016,03/07/2020,0
000-VMMP1799,SS604C19a,SS604C19a Alford Academy,Watermill Coaches Limited,158460,16/08/2016,16/08/2016,03/07/2020,0
000-JXQD8581,000-JXQD8581,Aberdeenshire Transportation Dynamic Purchasing System - Additional Support Needs (Lot 4),"A&I Coaches Ltd,Central Taxis (North East) Ltd,Portsoy Taxis Limited,Bains Chauffuer Drive,Elmbank Taxis,Watermill Coaches Ltd,Kininmonth Cabs,Classy Taxis Ltd,AA Taxis Portsoy Limited,Alpha Taxis (Inverurie) Ltd.,Turriff Coaches & Cabs,AJS Contract Cars  Ltd,Falcon Coach Hire Limited,Premier Coaches (Kintore) Ltd,Cadgers Taxis,Bains Coaches,E&H Taxis,Safedrive Taxis Ltd,Riverside Garage",3143478.84,05/10/2018,29/10/2018,03/07/2020,12
000-PWWB6295,Portal Ref: 453455,Award of Multiple Call off Agreements available: North Mainstream School transport Services,AJS Contract Cars Ltd,187324.8,08/07/2016,16/08/2016,03/07/2020,0
000-WCCB4494,Portal Ref: 453455,Award of Multiple Call off Agreements available: North Mainstream School transport Services,Central Taxis (North East) Limited,187324.8,08/07/2016,16/08/2016,03/07/2020,0
000-CARJ2284,Portal Ref: 453455,Award of Multiple Call off Agreements available: North Mainstream School transport Services,DEVERON COACHES LIMITED,187324.8,08/07/2016,16/08/2016,03/07/2020,0
000-RXKL4321,Portal Ref: 453455,Award of Multiple Call off Agreements available: North Mainstream School transport Services,Portsoy Taxis Limited,187324.8,08/07/2016,16/08/2016,03/07/2020,0
000-JEKG6254,NP464E20,NP464E20 Turriff Primary,Watermill Coaches Limited,71060,06/07/2018,21/08/2018,03/07/2020,0
000-NAJP6135,itt27479,NA443A20 (Fraserburgh North School),Kininmonth Cabs,8975,14/12/2018,07/01/2019,03/07/2020,12
000-GXMY3399,(blank),SA325B20 (Linn Moor),Kininmonth Cabs,8700,14/12/2018,07/01/2019,03/07/2020,12
000-QKBW8691,itt27479,NA932A20 (Cornhill Campus),Kininmonth Cabs,9375,14/12/2018,07/01/2019,03/07/2020,12
000-VGLA2277,itt 27479,NA420G20 (Fraserbugh Academy),Kininmonth Cabs,8475,14/12/2018,07/01/2019,03/07/2020,12
000-BTCA5451,itt 27479,SA325C20 (Linn Moor VSA School),Kininmonth Cabs,2995,14/12/2018,07/01/2019,03/07/2020,12
000-BMJA3355,itt27479,NA420F20 (Fraserburgh Academy),Classy Taxis Ltd,3500,14/12/2018,07/01/2019,03/07/2020,12
000-NCMA2388,itt 27479,NA922B20 (Auchterellon Primary),Terion Taxis,6250,14/12/2018,07/01/2019,03/07/2020,12
000-LNMM3725,itt27479,NA468F20 (Mintlaw Primary),Kininmonth Cabs,6725,14/12/2018,07/01/2019,03/07/2020,12
000-KBLD3657,itt27479,NA706F20 (Meldrum Academy),Kininmonth Cabs,0,14/12/2018,07/01/2019,03/07/2020,12
000-YUQQ7415,itt 27479,SA688O20 (St Andrews ASN School),Elmbank Taxis,35000,14/12/2018,07/01/2019,03/07/2020,12
000-NNKH9393,itt27479,SA688P20 (St Andrews ASN School),Elmbank Taxis,13500,14/12/2018,07/01/2019,03/07/2020,12
000-AJQQ8997,itt27479,NA567H20 (Mintlaw Academy),Kininmonth Cabs,2780,14/12/2018,07/01/2019,03/07/2020,12
000-CQBR2119,itt 27479,NA931A20 (Meiklemill primary),Watermill Coaches Ltd,11750,14/12/2018,07/01/2019,03/07/2020,12
000-QLMJ9792,itt 27479,NA923A20 (Troup House),Classy Taxis Ltd,11875,14/12/2018,07/01/2019,03/07/2020,12
000-CLUG5611,itt 27479,SA688Q20 (St Andrews ASN School),Alpha Taxis (Inverurie) Ltd.,1000,14/12/2018,07/01/2019,03/07/2020,12
000-CQQM6927,itt27479,NA468G20 (Mintlaw Academy),AJS Contract Cars  Ltd,12495,14/12/2018,07/01/2019,03/07/2020,12
000-MEEQ9557,itt27479,NA431A20 (Crimond Primary),Watermill Coaches Ltd,11750,14/12/2018,07/01/2019,03/07/2020,12
000-UVGA3452,itt 27479,NA484G20 (Banff Primary),Portsoy Taxis Limited,19500,03/01/2019,07/01/2019,03/07/2020,12
000-RAWM1373,NS467R20,NS467R20 Mintlaw Academy,Watermill Coaches Ltd,55480,03/08/2018,21/08/2018,03/07/2020,0
000-VLCR7135,NS705T20,NS705T20 Meldrum Academy,Premier Coaches (Kintore) Limited,63080,03/08/2018,21/08/2018,03/07/2020,0
000-PTHF9515,NP413B20,NP413B20 Boddam School,Central Taxis (North East) Ltd,19745,20/09/2018,24/09/2018,03/07/2020,0
000-KGLB9426,NP465C20,NP465C20 Maud School,Central Taxis (North East) Ltd,47740,25/10/2018,29/10/2018,03/07/2020,0
000-BHRT5118,NP471D20,NP471D20 New Deer School,Central Taxis (North East) Ltd,22165,25/10/2018,29/10/2018,03/07/2020,0
000-UVYR6312,itt_28844,NA567L20 (Mintlaw Academy),Kininmonth Cabs,2217.5,25/03/2019,15/04/2019,03/07/2020,12
000-MUDE5257,itt_28844,NA404N20 (Anna Ritchie),Kininmonth Cabs,3950,25/03/2019,15/04/2019,03/07/2020,12
000-UMPP5723,itt_28844,NA567M20 (Mintlaw Academy),Kininmonth Cabs,3475,25/03/2019,15/04/2019,03/07/2020,12
000-BUYH5195,itt_28844,NA404L20 (Anna Ritchie School),Kininmonth Cabs,1795,25/03/2019,15/04/2019,03/07/2020,12
000-VCDX4688,itt_28844,NA706J20 (Meldrum Academy),Kininmonth Cabs,5225,25/03/2019,15/04/2019,03/07/2020,12
000-QJDA8523,itt_28844,NA632H20 (Ellon Academy),Central Taxis (North East) Limited,2000,25/03/2019,15/04/2019,03/07/2020,12
000-PPVX8476,itt_28844,SA688U20 (St Andrews ASN School),Central Taxis (North East) Limited,27500,25/03/2019,15/04/2019,03/07/2020,12
000-JJDB4938,itt_28844,NA443C20 (Fraserburgh North School),Central Taxis (North East) Limited,15000,25/03/2019,15/04/2019,03/07/2020,12
000-DCWY8592,itt_28844,NA475D20 (Peterhead Academy),Central Taxis (North East) Limited,12500,25/03/2019,15/04/2019,03/07/2020,12
000-CDAU3843,itt_28844,NA567K20 (Mintlaw Academy),Central Taxis (North East) Limited,4375,25/03/2019,15/04/2019,03/07/2020,12
000-UXQH1862,itt_28844,SA071G20 (Kemnay Academy),Allways Taxis (Inverurie) Limited,4390,25/03/2019,15/04/2019,03/07/2020,12
000-VTVV7971,itt_28844,SA688T20 (St Andrews ASN School),Allways Taxis (Inverurie) Limited,8077.5,25/03/2019,15/04/2019,03/07/2020,12
000-VURL6312,itt_28844,NA069E20 (Banff Academy),DEVERON COACHES LIMITED,22500,25/03/2019,15/04/2019,03/07/2020,12
000-DATA6892,itt_28844,SA816A20 (Banchory-Devenick School),Central Taxis (Aberdeen) Limited,8500,25/03/2019,15/04/2019,03/07/2020,12
000-EKFJ8722,itt_28844,SA299H20 (Camphill),Central Taxis (Aberdeen) Limited,22250,25/03/2019,15/03/2019,03/07/2020,12
000-CNWL6214,itt_28844,SA007A20 (JohnshavenPrimary),Kenny's Taxis,1900,25/03/2019,15/04/2019,03/07/2020,12
000-WUCQ8784,itt_28844,NA875E20 (Turriff Academy),Portsoy Taxis Limited,17000,25/03/2019,15/04/2019,03/07/2020,12
000-UMKN1328,itt_28844,SA957A20 (Port Elphinestone primary),Watermill Coaches Ltd,24250,25/03/2019,15/04/2019,03/07/2020,12
000-URQY5938,itt_28844,SA818I20 (Carronhill ASN School),A&I Coaches Ltd,20587.5,25/03/2019,15/04/2019,03/07/2020,12
000-FPTQ3344,itt_28844,SA088E20 (Alford Primary),L&B Taxis,20000,25/03/2019,15/04/2019,03/07/2020,12
000-BYEQ2889,itt_28844,SA964B20 (Aberlour Centre),L&B Taxis,6800,25/03/2019,15/04/2019,03/07/2020,12
000-TWGC1464,itt_28844,SA964A20 (Aberlour School),L&B Taxis,19125,25/03/2019,15/04/2019,03/07/2020,12
000-GHGE9875,itt_28844,NA069C20 (Banff Academy),AJS Contract Cars  Ltd,1249.5,25/03/2019,15/04/2019,03/07/2020,12
000-EKDC3372,itt_28844,SA071I20 (Kemnay Academy),Premier Coaches (Kintore) Limited,2100,25/03/2019,15/04/2019,03/07/2020,12
000-RVEN7911,itt_28844,SA088D20 (Alford Primary),Premier Coaches (Kintore) Limited,23000,25/03/2019,15/04/2019,03/07/2020,12
000-UKNV9285,itt_28844,SA097J20 (inverurie Academy),Premier Coaches (Kintore) Limited,1500,25/03/2019,15/04/2019,03/07/2020,12
000-ETKF6294,itt_28844,SA688S20 (St Andrews ASN School),Premier Coaches (Kintore) Limited,4900,25/03/2019,15/04/2019,03/07/2020,12
000-EPJN9937,itt_28844,SA688V20 (St Andrews ASN School),Premier Coaches (Kintore) Limited,3000,25/03/2019,15/04/2019,03/07/2020,12
000-CUWU1552,NP497A20,NP497A20 - Tyrie School,Kineil Coaches Limited,256500,16/08/2015,16/08/2015,04/07/2020,0
000-HVXR2856,NS441B20,NS441B20 - Fraserburgh Academy,Kineil Coaches Limited,365750,16/08/2015,16/08/2015,04/07/2020,0
000-QPME5237,NS467C20,NS467C20 - Mintlaw Academy,Kineil Coaches Limited,270750,16/08/2015,16/08/2015,04/07/2020,0
000-RWYK6164,NS705P20,NS705P20 - Meldrum Academy,Bains Coaches,209000,16/08/2015,16/08/2015,04/07/2020,0
000-QTBJ3797,NS477D20,NS477D20 - Peterhead Academy,Watermill Coaches Limited,225150,16/08/2015,16/08/2015,04/07/2020,0
000-QEPE7422,NS705O20,NS705O20 - Meldrum Academy,Bains Coaches,152000,16/08/2015,16/08/2015,04/07/2020,0
000-JHKA5913,NS644E20,NS644E20 - The Gordon Schools,Shearer of Huntly Limited,165300,16/08/2015,16/08/2015,04/07/2020,0
000-KCBU2547,NS644F20,NS644F20 - The Gordon Schools,Shearer of Huntly Limited,270750,16/08/2015,16/08/2015,04/07/2020,0
000-JPKX1583,NS644H20,NS644H20 - The Gordon Schools,Shearer of Huntly Limited,170050,16/08/2015,16/08/2015,04/07/2020,0
000-KTAR6261,NS644J20,NS644J20 - The Gordon Schools,DEVERON COACHES LIMITED,247000,16/08/2015,16/08/2015,04/07/2020,0
000-GUXE8214,NS644N20,NS644N20 - The Gordon Schools,Shearer of Huntly Limited,331550,16/08/2015,16/08/2015,04/07/2020,0
000-DCMT6484,NS644O20,NS644O20 - The Gordon Schools,Shearer of Huntly Limited,227050,16/08/2015,16/08/2015,04/07/2020,0
000-ANXC5755,F-NS631Z20,F-NS631Z20 - Ellon Academy,Victoria Coaches,218500,16/08/2015,16/08/2015,04/07/2020,0
000-JFTA3428,NS467A20,NS467A20 - Mintlaw Academy,Watermill Coaches Limited,210900,16/08/2015,16/08/2015,04/07/2020,0
000-NRQF1443,NS467F20,NS467F20 - Mintlaw Academy,Watermill Coaches Limited,220400,16/08/2015,16/08/2015,04/07/2020,0
000-PHYF5342,NS467M20,NS467M20 - Mintlaw Academy,Watermill Coaches Limited,201400,16/08/2015,16/08/2015,04/07/2020,0
000-YYYB5163,NS441C20,NS441C20 - Fraserburgh Academy,Watermill Coaches Limited,220400,16/08/2015,16/08/2015,04/07/2020,0
000-FGNP3317,NS441E20,NS441E20 - Fraserburgh Academy,Watermill Coaches Limited,220400,16/08/2015,16/08/2015,04/07/2020,0
000-QHLE8891,NS441G20,NS441G20 - Fraserburgh Academy,Watermill Coaches Limited,211850,16/08/2015,16/08/2015,04/07/2020,0
000-YAUD1543,NS477A20,NS477A20 - Peterhead Academy,Victoria Coaches,228000,16/08/2015,16/08/2015,04/07/2020,0
000-TBJX5212,NS477C20,NS477C20 - Peterhead Academy,Victoria Coaches,228000,16/08/2015,16/08/2015,04/07/2020,0
000-YUBN6571,NS477F20,NS477F20 - Peterhead Academy,Victoria Coaches,245100,16/08/2015,16/08/2015,04/07/2020,0
000-JYGD5865,NS631B20,NS631B20 - Ellon Academy,Watermill Coaches Limited,234650,16/08/2015,16/08/2015,04/07/2020,0
000-WKJY6977,NS631C20,NS631C20 - Ellon Academy,Ian Bruce Coach Hire Limited,201400,16/08/2015,16/08/2015,04/07/2020,0
000-GJXP7436,NS631D20,NS631D20 - Ellon Academy,Watermill Coaches Limited,206150,16/08/2015,16/08/2015,04/07/2020,0
000-GNPT5646,NS631F20,NS631F20 - Ellon Academy,Watermill Coaches Limited,253650,16/08/2015,16/08/2015,04/07/2020,0
000-RENM3548,NS631G20,NS631G20 - Ellon Academy,Watermill Coaches Limited,272650,16/08/2015,16/08/2015,04/07/2020,0
000-CGBT1833,NS631H20,NS631H20 - Ellon Academy,Watermill Coaches Limited,215650,16/08/2015,16/08/2015,04/07/2020,0
000-FQPJ8756,NS631J20,NS631J20 - Ellon Academy,Watermill Coaches Limited,206150,16/08/2015,16/08/2015,04/07/2020,0
000-UHWW5762,NS631E20,NS631E20 - Ellon Academy,Victoria Coaches,256500,16/08/2015,16/08/2015,04/07/2020,0
000-ATQB1529,NS631I20,NS631I20 - Ellon Academy,Victoria Coaches,323000,16/08/2015,16/08/2015,04/07/2020,0
000-AJTU4519,NS705D20,NS705D20 - Meldrum Academy,Watermill Coaches Limited,210900,16/08/2015,16/08/2015,04/07/2020,0
000-DQQW7827,NS705F20,NS705F20 - Meldrum Academy,Watermill Coaches Limited,210900,16/08/2015,16/08/2015,04/07/2020,0
000-UHBF7146,NP464B20,NP464B20 - Markethill School,Turriff Coaches & Cabs,142500,16/08/2015,16/08/2015,04/07/2020,0
000-QVGG2578,NS408A-R20,NS408A-R20 - Banff Academy,DEVERON COACHES LIMITED,256500,16/08/2015,16/08/2015,04/07/2020,0
000-WNAL9317,NS408B-R20,NS408B-R20 - Banff Academy,DEVERON COACHES LIMITED,218500,16/08/2015,16/08/2015,04/07/2020,0
000-TLGN3278,NS631A-R20,NS631A-R20 - Ellon Academy,Watermill Coaches Limited,225150,16/08/2015,16/08/2015,04/07/2020,0
000-MERK6727,NMC-G20,NMC-G20 - Mintlaw Music Centre,Kineil Coaches Limited,30000,16/08/2015,16/08/2015,04/07/2020,0
000-KNYN1733,NMC-H20,NMC-H20 - Mintlaw Music Centre,DEVERON COACHES LIMITED,55000,16/08/2015,16/08/2015,04/07/2020,0
000-RGHE3183,NMC-I20,NMC-I20 - Mintlaw Music Centre,Kineil Coaches Limited,47500,16/08/2015,16/08/2015,04/07/2020,0
000-BTEJ6524,NP406A20,NP406A20 - Auchnagatt Primary,Ian Bruce Coach Hire Limited,207100,16/08/2015,16/08/2015,04/07/2020,0
000-MBBP5348,NP409B20,NP409B20 - Banff Primary,AJS Contract Cars Limited,52231,16/08/2015,16/08/2015,04/07/2020,24
000-YDHB3195,NP452A20,NP452A20 - Hatton Cruden Primary,Victoria Coaches,251750,16/08/2015,16/08/2015,04/07/2020,0
000-HRQK8711,NP452B20,NP452B20 - Hatton Cruden Primary,Victoria Coaches,156750,16/08/2015,16/08/2015,04/07/2020,0
000-HWFQ4936,NP448C20,NP448C20 - Fyvie Primary,Watermill Coaches Limited,201400,16/08/2015,16/08/2015,04/07/2020,24
000-JBRU5586,NP448D20,NP448D20 - Fyvie Primary,Watermill Coaches Limited,210900,16/08/2015,16/08/2015,04/07/2020,24
000-TRYK8795,NP456A20,NP456A20 - King Edward Primary,Turriff Coaches & Cabs,123500,16/08/2015,16/08/2015,04/07/2020,0
000-LNVU1458,NP431A20,NP431A20 - Crimond Primary,Central Taxis (North-East) Limited,61750,16/08/2015,16/08/2015,04/07/2020,0
000-WYXL8769,NP462B20,NP462B20 - Longside Primary,Victoria Coaches,150100,16/08/2015,16/08/2015,04/07/2020,0
000-NJMY5214,NP462C20,NP462C20 - Longside Primary,Victoria Coaches,166250,16/08/2015,16/08/2015,04/07/2020,0
000-NMEW4774,NP610A20,NP610A20 - Auchterellon Primary,Watermill Coaches Limited,225150,16/08/2015,16/08/2015,04/07/2020,0
000-PKNC3113,NP485A20,NP485A20 - Rathen Primary,Watermill Coaches Limited,172900,16/08/2015,16/08/2015,04/07/2020,0
000-JXDK7468,NP485B20,NP485B20 - Rathen Primary,Watermill Coaches Limited,182400,16/08/2015,16/08/2015,04/07/2020,0
000-JMYF5352,NP626A20,NP626A20 - Cultercullen Primary,Central Taxis (Aberdeen) Limited,142500,16/08/2015,16/08/2015,04/07/2020,0
000-GYPA1725,NP626B20,NP626B20 - Cultercullen Primary,Central Taxis (Aberdeen) Limited,133000,16/08/2015,16/08/2015,04/07/2020,0
000-BGQR5446,NP628B20,NP628B20 - Drumblade Primary,Shearer of Huntly Limited,208050,16/08/2015,16/08/2015,04/07/2020,0
000-QHHN9852,NP643B20,NP643B20 - Gordon Primary,Shearer of Huntly Limited,155800,16/08/2015,16/08/2015,04/07/2020,0
000-DVFD7631,NP691A20,NP691A20 - Slains Primary School,Watermill Coaches Limited,215650,16/08/2015,16/08/2015,04/07/2020,0
000-QBNQ3683,SP659A19,SP659A19 - Kellands Primary,AJS Contract Cars Limited,41784.8,16/08/2015,16/08/2015,04/07/2020,24
000-UDUP4884,SS115E19,SS115E19 - Bridge of Don Academy (City),AJS Contract Cars Limited,30202.4,16/08/2015,16/08/2015,04/07/2020,0
000-LLBV5873,NMC-A20,NMC-A20 - Mintlaw Music Centre,Victoria Coaches,21250,16/08/2015,16/08/2015,04/07/2020,0
000-WFMF1811,NMC-B20,NMC-B20 - Mintlaw Music Centre,Victoria Coaches,21250,16/08/2015,16/08/2015,04/07/2020,0
000-BCKH6277,NMC-F20,NMC-F20 - Mintlaw Music Centre,Victoria Coaches,39375,16/08/2015,16/08/2015,04/07/2020,0
000-GFLX5587,NP402A20,NP402A20 - Aberchirder Primary School,Shearer of Huntly Limited,227050,16/08/2015,16/08/2015,04/07/2020,0
000-HTVT4232,NP612E20,NP612E20 - Balmedie Primary School,AJS Contract Cars Limited,37753,16/08/2015,16/08/2015,04/07/2020,0
000-LQFM9166,NP613B20,NP613B20 - Barthol Chapel School,Premier Coaches (Kintore) Limited,134900,16/08/2015,16/08/2015,04/07/2020,0
000-TVBK2527,NP612C20,NP612C20 - Balmedie Primary School,Cadgers Taxis,66500,16/08/2015,16/08/2015,04/07/2020,0
000-UHMY5483,NP612A20,NP612A20 - Balmedie Primary School,Central Taxis (Aberdeen) Limited,142500,16/08/2015,16/08/2015,04/07/2020,0
000-CPME3111,NP612B20,NP612B20 - Balmedie Primary School,Central Taxis (Aberdeen) Limited,128250,16/08/2015,16/08/2015,04/07/2020,0
000-PVQP7156,NP612D20,NP612D20 - Balmedie Primary School,Central Taxis (Aberdeen) Limited,142500,16/08/2015,16/08/2015,04/07/2020,0
000-HXNY5513,Portal Ref: 434975,"Award of Call off Agreements: NS408D20a & NS408G20a, Banff Academy",Watermill Coaches Ltd,275388,03/03/2016,07/03/2016,04/07/2020,0
000-LAMP6593,NS408D20a,NS408P20 Banff Acadamey,DEVERON COACHES LIMITED,98800,29/08/2016,29/08/2016,05/07/2020,48
000-TDHV7966,NS441K20,NS441K20 Fraserburgh Academy,Watermill Coaches Limited,43320,16/08/2016,16/08/2016,05/07/2020,48
000-HGEQ7762,SP619C19,SP619C19 Banchory Primary,J D Peace & Co Aberdeen Ltd,27360,29/08/2016,29/08/2016,05/07/2020,0
000-KLXM6357,F-SS604L19,F-SS604L19 Alford Academy Feeder,RS Taxis and Minicoach Hire,33985.3,16/08/2016,16/08/2016,05/07/2020,0
000-VKQM2432,F-SS604M19,F-SS604M19 Alford Academy Feeder,RS Taxis and Minicoach Hire,33985.3,16/08/2016,16/08/2016,05/07/2020,0
000-RNAH1466,SMC-C19a,SMC-C19a Music Centre,Premier Coaches (Kintore) Ltd,129960,16/08/2016,16/08/2016,05/07/2020,0
000-VTGX2343,SMC-C19a,SMC-P19a Music Centre,Premier Coaches (Kintore) Ltd,95760,16/08/2016,16/08/2016,05/07/2020,0
000-TRYA5732,SP645B19,SP645B19 Hatton Fintray Primary,AJS Contract Cars  Ltd,42738.6,16/08/2016,16/08/2016,05/07/2020,0
000-WTBX1851,SP651B19,SP651B19 Keig Primary,AJS Contract Cars  Ltd,42738.6,16/08/2016,16/08/2016,05/07/2020,0
000-TRFD2964,SP651C19,SP651C19 Keig Primary,AJS Contract Cars  Ltd,42738.6,16/08/2016,16/08/2016,05/07/2020,0
000-JFUF8912,SP697C19a,SP697C19a Towie Primary,Premier Coaches (Kintore) Ltd,107160,16/08/2016,16/08/2016,05/07/2020,0
000-EMKJ8297,SP829A19a,SP829A19a Finzean Primary,A M & J Brown (Allan and Black),112860,16/08/2016,16/08/2016,05/07/2020,0
000-UCVC2968,SS604B19a,SS604B19a Alford Academy,Premier Coaches (Kintore) Ltd,141360,16/08/2016,16/08/2016,05/07/2020,0
000-KYKB9386,SS810F19a,SS810F19a Banchory Academy,Premier Coaches (Kintore) Ltd,99180,16/08/2016,16/08/2016,05/07/2020,0
000-QQLN8211,(blank),NP422A20 Burnhaven School,AJS Contract Cars  Ltd,41218,05/06/2017,13/07/2017,05/07/2020,24
000-ENHF1182,(blank),NS496W20 - Turriff Academy,Watermill Coaches Limited,43890,22/08/2017,22/08/2017,05/07/2020,0
000-HNMY9155,(blank),NP669B20 Meiklemill Primary,Central Taxis (North East) Ltd,29925,22/08/2017,22/08/2017,05/07/2020,0
000-EKXG5994,(blank),NP490B20 St Fergus Primary,Central Taxis (North East) Ltd,31350,22/08/2017,22/08/2017,05/07/2020,0
000-PWFK1122,(blank),NS408M20 Banff Academy,W&G Taxis and Coach Hire,94050,22/08/2017,22/08/2017,05/07/2020,0
000-QEVK6366,Portal Ref: 459810,"Award of Multiple Call off Agreements: F-NS705Y20 Meldrum Academy (feeder), SP619C19 Cluny School...",DEVERON COACHES LIMITED,124558,24/08/2016,29/08/2016,05/07/2020,0
000-KCUA8435,Portal Ref: 459810,"Award of Multiple Call off Agreements: F-NS705Y20 Meldrum Academy (feeder), SP619C19 Cluny School...",J.D.Peace & Co (ABDN) Ltd,124558,24/08/2016,29/08/2016,05/07/2020,0
000-HRLB8914,Portal Ref: 517717,Award of Call Off Agreement - NS496X20 - Turriff Academy,SHEARER OF HUNTLY LTD,50065,03/11/2017,06/11/2018,05/07/2020,0
000-HVXL5884,F-NS408Q20,F-NS408Q20 Banff Academy,SHEARER OF HUNTLY LTD,16720,06/06/2018,18/06/2018,05/07/2020,0
000-NFXG8237,NP612F20,NP612F20 Balmedie Primary,Watermill Coaches Ltd,37051,14/02/2018,15/02/2018,05/07/2020,0
000-ECTK6864,NP440C20,NP440C20 Fordyce Primary,Portsoy Taxis Limited,17568,04/09/2018,10/09/2018,05/07/2020,0
000-WJDU5453,NP433B20,NP433B20 Crudie Primary,W&G Taxis and Coach Hire,32395,08/10/2018,01/10/2018,05/07/2020,0
000-ECLB8952,NP671B20,NP671B20 Methlick Primary,Central Taxis (North East) Limited,22187.5,24/09/2018,25/09/2018,05/07/2020,0
000-CNEU4658,NP495B20,NP495B20 Stuartfield Primary,Watermill Coaches Limited,15686,25/10/2018,29/10/2018,05/07/2020,0
000-VGXK2273,NS408N-R20,NS408N-R20 Banff Academy,Deveron Coaches Ltd,108300,11/08/2017,22/08/2017,05/07/2020,0
000-YUNA2394,NS408O-R20,NS408O-R20 Banff Academy,Deveron Coaches Ltd,108300,11/08/2017,22/08/2017,05/07/2020,0
000-HDRN2884,F-NS644D20,F-NS644D20 - The Gordon Schools,Reids of Rhynie,178600,16/08/2015,16/08/2015,06/07/2020,24
000-ANRK5446,F-NS644O20,F-NS644O20 - The Gordon Schools,Reids of Rhynie,155800,16/08/2015,16/08/2015,06/07/2020,24
000-GLDM8353,F-NS644P20,F-NS644P20 - The Gordon Schools,Reids of Rhynie,155800,16/08/2015,16/08/2015,06/07/2020,24
000-XQGD7281,F-NS644U20,F-NS644U20 - The Gordon Schools,RGS Motor Services,49400,16/08/2015,16/08/2015,06/07/2020,24
000-CQUT1968,NP648A20,NP648A20 - Insch School,Reids of Rhynie,165300,16/08/2015,16/08/2015,06/07/2020,24
000-BYAX3927,NP648B20,NP648B20 - Insch School,Reids of Rhynie,165300,16/08/2015,16/08/2015,06/07/2020,24
000-CPGA2883,NP648C20,NP648C20 - Insch School,Reids of Rhynie,155800,16/08/2015,16/08/2015,06/07/2020,24
000-UPUD7282,NP656A20,NP656A20 - Kennethmont School,Reids of Rhynie,146300,16/08/2015,16/08/2015,06/07/2020,24
000-HGAJ8992,NP663A20,NP663A20 - Largue School,RGS Motor Services,150100,16/08/2015,16/08/2015,06/07/2020,24
000-BUJA5363,NP667A20,NP667A20 - Logie Durno School,RGS Motor Services,142500,16/08/2015,16/08/2015,06/07/2020,24
